Account,Degree,In_Degree,Out_Degree,Degree_Centrality
80D3FFC30,2,1,1,0.00033211557622052476
8031885F0,2,1,1,0.00033211557622052476
80D4041D0,2,1,1,0.00033211557622052476
806CC8A70,2,1,1,0.00033211557622052476
80D4039D0,2,1,1,0.00033211557622052476
80D407C60,2,1,1,0.00033211557622052476
80D409080,2,1,1,0.00033211557622052476
806CA03F0,2,1,1,0.00033211557622052476
806C83C90,2,1,1,0.00033211557622052476
80D3748D0,2,1,1,0.00033211557622052476
80D340B80,2,1,1,0.00033211557622052476
806CDA5A0,2,1,1,0.00033211557622052476
800AC6240,2,1,1,0.00033211557622052476
806D42660,2,1,1,0.00033211557622052476
806D32160,2,1,1,0.00033211557622052476
806D04FC0,2,1,1,0.00033211557622052476
806D03A40,2,1,1,0.00033211557622052476
800611CE0,1,0,1,0.00016605778811026238
806D06420,1,1,0,0.00016605778811026238
80311E1E0,2,1,1,0.00033211557622052476
806CE2620,2,1,1,0.00033211557622052476
80D34C210,2,1,1,0.00033211557622052476
800ACB4A0,2,1,1,0.00033211557622052476
80D349DB0,1,0,1,0.00016605778811026238
81A9C2950,1,1,0,0.00016605778811026238
80D34B3C0,2,1,1,0.00033211557622052476
80D361630,2,1,1,0.00033211557622052476
8030FE7B0,2,1,1,0.00033211557622052476
80D368B80,2,1,1,0.00033211557622052476
8015A2C30,1,0,1,0.00016605778811026238
806CDFC40,1,1,0,0.00016605778811026238
806CDDAD0,2,1,1,0.00033211557622052476
80D367D80,2,1,1,0.00033211557622052476
80BCC4C00,1,0,1,0.00016605778811026238
80D36F950,1,1,0,0.00016605778811026238
806C5C080,2,1,1,0.00033211557622052476
806E46C30,2,1,1,0.00033211557622052476
80D2053B0,1,0,1,0.00016605778811026238
817662DE0,1,1,0,0.00016605778811026238
800B716C0,2,1,1,0.00033211557622052476
802FF73C0,2,1,1,0.00033211557622052476
80D04E870,2,1,1,0.00033211557622052476
80D0547B0,2,1,1,0.00033211557622052476
807017410,2,1,1,0.00033211557622052476
807052E80,2,1,1,0.00033211557622052476
8070540E0,2,1,1,0.00033211557622052476
800B64150,2,1,1,0.00033211557622052476
80D01C2F0,2,1,1,0.00033211557622052476
80D021310,2,1,1,0.00033211557622052476
80704DB80,2,1,1,0.00033211557622052476
80704CA90,2,1,1,0.00033211557622052476
800A91760,2,1,1,0.00033211557622052476
80D0161C0,2,1,1,0.00033211557622052476
807F30160,1,0,1,0.00016605778811026238
80D06D0C0,1,1,0,0.00016605778811026238
80D074190,2,1,1,0.00033211557622052476
80D0AB640,2,1,1,0.00033211557622052476
80D0419E0,2,1,1,0.00033211557622052476
800B2F960,2,1,1,0.00033211557622052476
80D034DE0,2,1,1,0.00033211557622052476
802FEA020,2,1,1,0.00033211557622052476
80CF0A600,2,1,1,0.00033211557622052476
80CF0C150,1,0,1,0.00016605778811026238
80CF0D1B0,1,1,0,0.00016605778811026238
8070EA8E0,2,1,1,0.00033211557622052476
803293E70,2,1,1,0.00033211557622052476
8070D0690,2,1,1,0.00033211557622052476
80CF3C3E0,2,1,1,0.00033211557622052476
8070C8F10,2,1,1,0.00033211557622052476
8070E8FA0,2,1,1,0.00033211557622052476
800BA1D20,2,1,1,0.00033211557622052476
8070DF5E0,2,1,1,0.00033211557622052476
800B9FF00,2,1,1,0.00033211557622052476
80CFBFF70,2,1,1,0.00033211557622052476
8070D4180,2,1,1,0.00033211557622052476
80D01BD80,2,1,1,0.00033211557622052476
80D01D340,2,1,1,0.00033211557622052476
80D01F260,2,1,1,0.00033211557622052476
80D026E80,1,0,1,0.00016605778811026238
80D024E70,1,1,0,0.00016605778811026238
80D035770,2,1,1,0.00033211557622052476
800B19260,2,1,1,0.00033211557622052476
8030193F0,2,1,1,0.00033211557622052476
80301F070,2,1,1,0.00033211557622052476
800B312A0,2,1,1,0.00033211557622052476
806EC6DB0,1,0,1,0.00016605778811026238
806EC6E00,1,1,0,0.00016605778811026238
800B2CA50,2,1,1,0.00033211557622052476
8087A24F0,1,0,1,0.00016605778811026238
80D19E560,1,1,0,0.00016605778811026238
80D1A5B00,3,2,1,0.0004981733643307871
80690A040,1,0,1,0.00016605778811026238
806E6AEE0,1,1,0,0.00016605778811026238
80D1AAB40,2,1,1,0.00033211557622052476
80D1A6720,2,1,1,0.00033211557622052476
806E821D0,2,1,1,0.00033211557622052476
8030B49C0,2,1,1,0.00033211557622052476
800B260A0,1,0,1,0.00016605778811026238
800B26BE0,1,1,0,0.00016605778811026238
806E74B10,2,1,1,0.00033211557622052476
806E73EC0,2,1,1,0.00033211557622052476
806E69C50,2,1,1,0.00033211557622052476
80D1B9770,2,1,1,0.00033211557622052476
806E5EC30,2,1,1,0.00033211557622052476
80D1EFC80,2,1,1,0.00033211557622052476
80D12C8D0,2,1,1,0.00033211557622052476
8002BF660,1,0,1,0.00016605778811026238
80301F580,1,1,0,0.00016605778811026238
80055C090,1,0,1,0.00016605778811026238
801644BF0,1,1,0,0.00016605778811026238
80D12B860,2,1,1,0.00033211557622052476
800A9F3D0,1,0,1,0.00016605778811026238
800B2EEC0,1,1,0,0.00016605778811026238
807028790,2,1,1,0.00033211557622052476
807023D70,2,1,1,0.00033211557622052476
803022D60,1,0,1,0.00016605778811026238
803022C20,1,1,0,0.00016605778811026238
800B53320,2,1,1,0.00033211557622052476
800B50E10,1,1,0,0.00016605778811026238
800B50E60,2,1,1,0.00033211557622052476
80D0E2F40,2,1,1,0.00033211557622052476
8030269A0,2,1,1,0.00033211557622052476
80D0E5280,1,0,1,0.00016605778811026238
80D0E6350,1,1,0,0.00016605778811026238
800B49BA0,2,1,1,0.00033211557622052476
8003E4ED0,1,0,1,0.00016605778811026238
800B49120,1,1,0,0.00016605778811026238
806FB2F20,2,1,1,0.00033211557622052476
80D11F900,2,1,1,0.00033211557622052476
80D125130,2,1,1,0.00033211557622052476
806F9C370,2,1,1,0.00033211557622052476
80D12F400,1,1,0,0.00016605778811026238
806F56310,1,0,1,0.00016605778811026238
80B59C8C0,1,1,0,0.00016605778811026238
80D440170,2,1,1,0.00033211557622052476
80D44A870,2,1,1,0.00033211557622052476
806C3B030,3,1,2,0.0004981733643307871
806C3B7B0,1,1,0,0.00016605778811026238
80D7B5080,1,0,1,0.00016605778811026238
80D7B4F40,1,1,0,0.00016605778811026238
80D7E7AD0,2,1,1,0.00033211557622052476
80D7EBCC0,1,0,1,0.00016605778811026238
817854090,1,1,0,0.00016605778811026238
80D81A890,2,1,1,0.00033211557622052476
80D81D000,2,1,1,0.00033211557622052476
8032C5220,2,1,1,0.00033211557622052476
80044C8A0,2,1,1,0.00033211557622052476
8069ED150,1,1,0,0.00016605778811026238
80D83EBD0,2,1,1,0.00033211557622052476
800998C80,2,1,1,0.00033211557622052476
8069E36C0,2,1,1,0.00033211557622052476
8069E34F0,2,1,1,0.00033211557622052476
8069CE3B0,2,1,1,0.00033211557622052476
80D853870,2,1,1,0.00033211557622052476
80D85E760,2,1,1,0.00033211557622052476
80D866D30,2,1,1,0.00033211557622052476
8009A5550,2,1,1,0.00033211557622052476
8009AC2D0,2,1,1,0.00033211557622052476
8009A1500,2,1,1,0.00033211557622052476
80329D320,2,1,1,0.00033211557622052476
8009EBCB0,2,1,1,0.00033211557622052476
806AAA180,2,1,1,0.00033211557622052476
806AA8D70,2,1,1,0.00033211557622052476
805C31320,1,0,1,0.00016605778811026238
806AA81B0,1,1,0,0.00016605778811026238
80D727D10,2,1,1,0.00033211557622052476
8004F7580,1,0,1,0.00016605778811026238
800A00B40,1,1,0,0.00016605778811026238
80D71BA00,2,1,1,0.00033211557622052476
8019A5490,2,1,1,0.00033211557622052476
80D73A2C0,2,1,1,0.00033211557622052476
80D74AF50,2,1,1,0.00033211557622052476
800573990,1,0,1,0.00016605778811026238
8009F7C00,1,1,0,0.00016605778811026238
805AFA8D0,1,0,1,0.00016605778811026238
80D752A20,1,1,0,0.00016605778811026238
8007DB650,1,0,1,0.00016605778811026238
8009F4ED0,1,1,0,0.00016605778811026238
80D45F610,1,0,1,0.00016605778811026238
80D756E40,1,1,0,0.00016605778811026238
80D759C90,2,1,1,0.00033211557622052476
80D759F10,2,1,1,0.00033211557622052476
806A196D0,2,1,1,0.00033211557622052476
806A191A0,2,1,1,0.00033211557622052476
8069E1300,2,1,1,0.00033211557622052476
80D712F90,2,1,1,0.00033211557622052476
80514F730,1,0,1,0.00016605778811026238
80694D060,1,1,0,0.00016605778811026238
8015F9C90,1,0,1,0.00016605778811026238
80D8A59F0,1,1,0,0.00016605778811026238
8068E6AA0,2,1,1,0.00033211557622052476
8068DC610,2,1,1,0.00033211557622052476
80D934880,2,1,1,0.00033211557622052476
80333B0A0,2,1,1,0.00033211557622052476
8068CB980,2,1,1,0.00033211557622052476
8033487D0,1,1,0,0.00016605778811026238
80092FAA0,2,1,1,0.00033211557622052476
8068C2330,2,1,1,0.00033211557622052476
806888180,2,1,1,0.00033211557622052476
80687FE80,2,1,1,0.00033211557622052476
803357090,2,1,1,0.00033211557622052476
8009850A0,2,1,1,0.00033211557622052476
80D99B6C0,2,1,1,0.00033211557622052476
80097BE20,2,1,1,0.00033211557622052476
806774A60,2,1,1,0.00033211557622052476
800979970,2,1,1,0.00033211557622052476
802D326D0,1,0,1,0.00016605778811026238
806770250,1,1,0,0.00016605778811026238
80333D100,2,1,1,0.00033211557622052476
80690F330,1,0,1,0.00016605778811026238
8075F4030,1,1,0,0.00016605778811026238
80D8E8960,2,1,1,0.00033211557622052476
80D8A5D30,1,0,1,0.00016605778811026238
806B4C630,1,1,0,0.00016605778811026238
80D8A8CD0,2,1,1,0.00033211557622052476
80D8AAF20,1,0,1,0.00016605778811026238
80D8AAED0,1,1,0,0.00016605778811026238
8068BF650,1,0,1,0.00016605778811026238
8068BF4C0,1,1,0,0.00016605778811026238
80D8B29A0,2,1,1,0.00033211557622052476
80D8B5080,2,1,1,0.00033211557622052476
8033154E0,2,1,1,0.00033211557622052476
8005380A0,2,1,1,0.00033211557622052476
806915CA0,2,1,1,0.00033211557622052476
80D8CBFC0,2,1,1,0.00033211557622052476
80690C130,1,0,1,0.00016605778811026238
81BF29AC0,1,1,0,0.00016605778811026238
80D8D4C90,2,1,1,0.00033211557622052476
806906380,2,1,1,0.00033211557622052476
80D8D7240,2,1,1,0.00033211557622052476
8068E7460,2,1,1,0.00033211557622052476
8068FCE40,2,1,1,0.00033211557622052476
8009A61B0,2,1,1,0.00033211557622052476
8068F5FF0,1,0,1,0.00016605778811026238
80D51F920,1,1,0,0.00016605778811026238
8068EB610,2,1,1,0.00033211557622052476
80D70CAE0,2,1,1,0.00033211557622052476
806AB5E60,2,1,1,0.00033211557622052476
800A0B5A0,2,1,1,0.00033211557622052476
800A786D0,2,1,1,0.00033211557622052476
800A86710,1,1,0,0.00016605778811026238
80D4E6540,2,1,1,0.00033211557622052476
8015C2D00,1,0,1,0.00016605778811026238
80D4F4430,1,1,0,0.00016605778811026238
80D4F4FC0,2,1,1,0.00033211557622052476
80D5067F0,2,1,1,0.00033211557622052476
80D502C30,2,1,1,0.00033211557622052476
80D506F10,2,1,1,0.00033211557622052476
80D534E80,2,1,1,0.00033211557622052476
80614F0D0,1,0,1,0.00016605778811026238
804CEB230,1,1,0,0.00016605778811026238
800A75C90,2,1,1,0.00033211557622052476
800A5E4F0,1,0,1,0.00016605778811026238
800A5ED60,1,1,0,0.00016605778811026238
8031D6970,2,1,1,0.00033211557622052476
80D5AE0C0,2,1,1,0.00033211557622052476
8006195F0,1,0,1,0.00016605778811026238
80062DEB0,1,1,0,0.00016605778811026238
8031B6260,1,0,1,0.00016605778811026238
8031BB950,1,1,0,0.00016605778811026238
80D5C3200,1,0,1,0.00016605778811026238
806D76210,1,1,0,0.00016605778811026238
80D493BD0,2,1,1,0.00033211557622052476
80D5E78B0,2,1,1,0.00033211557622052476
80D466160,2,1,1,0.00033211557622052476
806BC6A40,2,1,1,0.00033211557622052476
800AAB8C0,1,0,1,0.00016605778811026238
80D055430,1,1,0,0.00016605778811026238
80319F350,2,1,1,0.00033211557622052476
806C3B410,2,1,1,0.00033211557622052476
8001EF1C0,1,0,1,0.00016605778811026238
80D45F840,1,1,0,0.00016605778811026238
8031A5400,2,1,1,0.00033211557622052476
80072F1C0,1,0,1,0.00016605778811026238
800AA5B00,1,1,0,0.00016605778811026238
806BD93F0,2,1,1,0.00033211557622052476
800A9EC60,2,1,1,0.00033211557622052476
8031A8950,2,1,1,0.00033211557622052476
800A9A920,1,1,0,0.00016605778811026238
806BDC790,2,1,1,0.00033211557622052476
806BDCFF0,2,1,1,0.00033211557622052476
800A94DC0,2,1,1,0.00033211557622052476
80D480500,2,1,1,0.00033211557622052476
806BC7010,2,1,1,0.00033211557622052476
8026732E0,2,1,1,0.00033211557622052476
800E649F0,1,0,1,0.00016605778811026238
806BC6020,1,1,0,0.00016605778811026238
8031BFAE0,2,1,1,0.00033211557622052476
80D6156A0,2,1,1,0.00033211557622052476
80D613870,1,0,1,0.00016605778811026238
81725A8E0,1,1,0,0.00016605778811026238
806AEFC70,2,1,1,0.00033211557622052476
80D6EB710,2,1,1,0.00033211557622052476
806AE7FC0,2,1,1,0.00033211557622052476
80D6EA170,2,1,1,0.00033211557622052476
806AE5DB0,2,1,1,0.00033211557622052476
80D6EC8E0,2,1,1,0.00033211557622052476
80178CBF0,1,0,1,0.00016605778811026238
806AD9640,1,1,0,0.00016605778811026238
80D6D4D30,2,1,1,0.00033211557622052476
80D6FAA20,2,1,1,0.00033211557622052476
800A17480,2,1,1,0.00033211557622052476
800B9D410,1,0,1,0.00016605778811026238
8032854C0,1,1,0,0.00016605778811026238
802AB1650,1,0,1,0.00016605778811026238
803285800,1,1,0,0.00016605778811026238
80D6FFAC0,2,1,1,0.00033211557622052476
80D705890,2,1,1,0.00033211557622052476
806AC6820,2,1,1,0.00033211557622052476
803EF3B90,1,0,1,0.00016605778811026238
80D706650,1,1,0,0.00016605778811026238
800A0CC90,2,1,1,0.00033211557622052476
806AF2330,2,1,1,0.00033211557622052476
8031FB8F0,2,1,1,0.00033211557622052476
80D6C9AB0,2,1,1,0.00033211557622052476
8008F8030,1,0,1,0.00016605778811026238
806A806E0,1,1,0,0.00016605778811026238
8031C2D10,2,1,1,0.00033211557622052476
804D3E260,1,0,1,0.00016605778811026238
806B62AE0,1,1,0,0.00016605778811026238
806B62B80,2,1,1,0.00033211557622052476
80D62E020,2,1,1,0.00033211557622052476
806B62500,2,1,1,0.00033211557622052476
806AC65E0,1,0,1,0.00016605778811026238
80D632E80,1,1,0,0.00016605778811026238
806B4FBD0,2,1,1,0.00033211557622052476
80D63BFE0,2,1,1,0.00033211557622052476
80710C250,2,1,1,0.00033211557622052476
8031E4640,2,1,1,0.00033211557622052476
8031EB670,2,1,1,0.00033211557622052476
800A145C0,2,1,1,0.00033211557622052476
806B48920,2,1,1,0.00033211557622052476
800F54FE0,1,0,1,0.00016605778811026238
806B37DF0,1,1,0,0.00016605778811026238
806B2EE80,2,1,1,0.00033211557622052476
803AD3EC0,1,0,1,0.00016605778811026238
806B2E6B0,1,1,0,0.00016605778811026238
80D6BD5D0,2,1,1,0.00033211557622052476
80D6C58A0,2,1,1,0.00033211557622052476
803005180,1,0,1,0.00016605778811026238
8031E6790,1,1,0,0.00016605778811026238
800BBF8B0,1,0,1,0.00016605778811026238
80D9DC890,1,1,0,0.00016605778811026238
800584710,1,0,1,0.00016605778811026238
8009BDFD0,1,1,0,0.00016605778811026238
80CE7A250,1,0,1,0.00016605778811026238
816B4E160,1,1,0,0.00016605778811026238
80CC37530,2,1,1,0.00033211557622052476
80CC37890,2,1,1,0.00033211557622052476
80CC5E5B0,2,1,1,0.00033211557622052476
80749BFE0,1,0,1,0.00016605778811026238
80A53C360,1,1,0,0.00016605778811026238
80CC6DD50,2,1,1,0.00033211557622052476
80CC6F110,2,1,1,0.00033211557622052476
8074A6920,2,1,1,0.00033211557622052476
80CC7F4C0,1,0,1,0.00016605778811026238
80CC7F560,1,1,0,0.00016605778811026238
8003AB800,1,0,1,0.00016605778811026238
80CC7EDD0,1,1,0,0.00016605778811026238
80CC99750,2,1,1,0.00033211557622052476
80BE861A0,1,0,1,0.00016605778811026238
80CCA0370,1,1,0,0.00016605778811026238
80CCA0A30,2,1,1,0.00033211557622052476
80747AFE0,2,1,1,0.00033211557622052476
80CCB5100,2,1,1,0.00033211557622052476
80CCB6920,2,1,1,0.00033211557622052476
800C3B470,1,0,1,0.00016605778811026238
802BA52C0,1,1,0,0.00016605778811026238
80CCBC0A0,2,1,1,0.00033211557622052476
802B5F8B0,2,1,1,0.00033211557622052476
800CB7680,2,1,1,0.00033211557622052476
80CC580C0,2,1,1,0.00033211557622052476
80CC3ECD0,2,1,1,0.00033211557622052476
80CC0A130,2,1,1,0.00033211557622052476
80CC0EC90,2,1,1,0.00033211557622052476
800D11C90,2,1,1,0.00033211557622052476
802B37FA0,2,1,1,0.00033211557622052476
80CC11F80,2,1,1,0.00033211557622052476
8074F0820,1,0,1,0.00016605778811026238
8074F1CA0,1,1,0,0.00016605778811026238
8074D08B0,1,0,1,0.00016605778811026238
8014D2AC0,1,1,0,0.00016605778811026238
80CC15B30,2,1,1,0.00033211557622052476
80CC18B40,2,1,1,0.00033211557622052476
80CC1EEB0,2,1,1,0.00033211557622052476
806073370,2,1,1,0.00033211557622052476
8074D3690,2,1,1,0.00033211557622052476
802AF4AB0,1,0,1,0.00016605778811026238
802B32FC0,3,3,0,0.0004981733643307871
8074D5450,2,1,1,0.00033211557622052476
8074DF360,2,1,1,0.00033211557622052476
802B365E0,1,0,1,0.00016605778811026238
800CF3CF0,2,1,1,0.00033211557622052476
800CF1660,2,1,1,0.00033211557622052476
8074FB0E0,2,1,1,0.00033211557622052476
80CCBA120,2,1,1,0.00033211557622052476
80CCA7840,2,1,1,0.00033211557622052476
80CD0B5B0,2,1,1,0.00033211557622052476
802C79700,2,1,1,0.00033211557622052476
802C839F0,2,1,1,0.00033211557622052476
802C8C4F0,2,1,1,0.00033211557622052476
80CD22520,2,1,1,0.00033211557622052476
80CD23180,1,0,1,0.00016605778811026238
80CD231D0,1,1,0,0.00016605778811026238
8073F7690,2,1,1,0.00033211557622052476
80089C890,1,0,1,0.00016605778811026238
8073F7640,1,1,0,0.00016605778811026238
8004EBAA0,1,0,1,0.00016605778811026238
802C97BA0,1,1,0,0.00016605778811026238
806AA6490,2,1,1,0.00033211557622052476
80CD03A20,2,1,1,0.00033211557622052476
806D43FD0,2,1,1,0.00033211557622052476
80CD1DE80,2,1,1,0.00033211557622052476
800C823D0,2,1,1,0.00033211557622052476
80CD1E0F0,1,0,1,0.00016605778811026238
80CD01360,1,1,0,0.00016605778811026238
8073E76F0,2,1,1,0.00033211557622052476
8073E4E50,1,0,1,0.00016605778811026238
8073E5860,1,1,0,0.00016605778811026238
800C97B80,2,1,1,0.00033211557622052476
80CCBC600,2,1,1,0.00033211557622052476
807442C90,2,1,1,0.00033211557622052476
802C0F710,1,0,1,0.00016605778811026238
802C0F5D0,1,1,0,0.00016605778811026238
807472D40,2,1,1,0.00033211557622052476
80CCC5980,2,1,1,0.00033211557622052476
807470980,2,1,1,0.00033211557622052476
80CCA1D00,2,1,1,0.00033211557622052476
802291D60,1,0,1,0.00016605778811026238
802BB9B20,1,1,0,0.00016605778811026238
80746BC60,2,1,1,0.00033211557622052476
8074677A0,2,1,1,0.00033211557622052476
80CCE2270,2,1,1,0.00033211557622052476
803471720,2,1,1,0.00033211557622052476
802BD2BB0,2,1,1,0.00033211557622052476
80CCE6D30,2,1,1,0.00033211557622052476
8095081E0,1,0,1,0.00016605778811026238
80CCE8DB0,1,1,0,0.00016605778811026238
80CCE8580,2,1,1,0.00033211557622052476
80CCEBDA0,1,1,0,0.00016605778811026238
802BEE430,2,1,1,0.00033211557622052476
801B53870,1,0,1,0.00016605778811026238
80744DC70,1,1,0,0.00016605778811026238
8074432C0,2,1,1,0.00033211557622052476
800C76E00,1,0,1,0.00016605778811026238
800C7E630,1,1,0,0.00016605778811026238
802B319F0,2,1,1,0.00033211557622052476
8048AEB80,3,1,2,0.0004981733643307871
8075D67B0,2,1,1,0.00033211557622052476
8075CFD00,2,1,1,0.00033211557622052476
800CB5110,2,1,1,0.00033211557622052476
8075CFDA0,2,1,1,0.00033211557622052476
802A824F0,2,1,1,0.00033211557622052476
802A842C0,2,1,1,0.00033211557622052476
80CA462B0,2,1,1,0.00033211557622052476
80CA51140,2,1,1,0.00033211557622052476
8029B3C10,1,0,1,0.00016605778811026238
8075AD9C0,2,2,0,0.00033211557622052476
800D8ACC0,2,1,1,0.00033211557622052476
800D856B0,2,1,1,0.00033211557622052476
8075A5000,2,1,1,0.00033211557622052476
80CA7AC50,2,1,1,0.00033211557622052476
802084340,1,0,1,0.00016605778811026238
80CA8AF30,1,1,0,0.00016605778811026238
80CA944D0,2,1,1,0.00033211557622052476
80757BFA0,2,1,1,0.00033211557622052476
803E382A0,1,0,1,0.00016605778811026238
80CAAEA60,1,1,0,0.00016605778811026238
80C9A2020,2,1,1,0.00033211557622052476
807582DB0,2,1,1,0.00033211557622052476
8075E2840,2,0,2,0.00033211557622052476
800609A30,1,1,0,0.00016605778811026238
80C97E550,2,1,1,0.00033211557622052476
807620070,2,1,1,0.00033211557622052476
80C854FC0,2,1,1,0.00033211557622052476
800DD0FE0,2,1,1,0.00033211557622052476
8075F8060,2,1,1,0.00033211557622052476
802A39A60,2,1,1,0.00033211557622052476
800DD3680,2,1,1,0.00033211557622052476
800DD2450,1,0,1,0.00016605778811026238
800DD3A40,1,1,0,0.00016605778811026238
805CE6B60,1,0,1,0.00016605778811026238
80C8BAC70,1,1,0,0.00016605778811026238
802A40750,2,1,1,0.00033211557622052476
80C8F22D0,2,1,1,0.00033211557622052476
8081E8F30,1,0,1,0.00016605778811026238
80C917620,1,1,0,0.00016605778811026238
8075ED4C0,2,1,1,0.00033211557622052476
8075CF3F0,2,1,1,0.00033211557622052476
802A379E0,2,1,1,0.00033211557622052476
80C941870,2,1,1,0.00033211557622052476
8075E7F00,2,1,1,0.00033211557622052476
80C97BD40,2,1,1,0.00033211557622052476
8075CA4A0,2,1,1,0.00033211557622052476
80CC097D0,1,1,0,0.00016605778811026238
8002EE590,1,0,1,0.00016605778811026238
80757C7B0,1,1,0,0.00016605778811026238
800C310D0,2,1,1,0.00033211557622052476
802AE4890,2,1,1,0.00033211557622052476
807532370,2,1,1,0.00033211557622052476
800CC7840,2,1,1,0.00033211557622052476
800C3A3D0,2,1,1,0.00033211557622052476
80751C120,2,1,1,0.00033211557622052476
800C348F0,2,1,1,0.00033211557622052476
80CBD1C10,2,1,1,0.00033211557622052476
8005311A0,2,0,2,0.00033211557622052476
800D21680,1,1,0,0.00016605778811026238
800D211A0,2,1,1,0.00033211557622052476
80CBD5320,2,1,1,0.00033211557622052476
80CBD4C60,2,1,1,0.00033211557622052476
80CBDB870,1,0,1,0.00016605778811026238
800D5FED0,1,1,0,0.00016605778811026238
80CBE8BA0,2,1,1,0.00033211557622052476
8075160F0,2,1,1,0.00033211557622052476
80750F940,2,1,1,0.00033211557622052476
80744F2C0,2,1,1,0.00033211557622052476
802B21930,2,1,1,0.00033211557622052476
8002DD320,1,0,1,0.00016605778811026238
802AE0400,1,1,0,0.00016605778811026238
800D77710,2,1,1,0.00033211557622052476
80CB53460,2,1,1,0.00033211557622052476
80753CB80,2,1,1,0.00033211557622052476
80CAB9C20,2,1,1,0.00033211557622052476
800D36350,2,1,1,0.00033211557622052476
805105780,1,0,1,0.00016605778811026238
80CABE590,1,1,0,0.00016605778811026238
80CAC4BE0,2,1,1,0.00033211557622052476
802BA3DD0,1,0,1,0.00016605778811026238
80CACBF10,1,1,0,0.00016605778811026238
80093B4A0,1,0,1,0.00016605778811026238
807563AF0,1,1,0,0.00016605778811026238
80CACDA60,2,1,1,0.00033211557622052476
8071AC790,1,0,1,0.00016605778811026238
80CAD0310,1,1,0,0.00016605778811026238
80755EA70,2,1,1,0.00033211557622052476
80754BB60,2,1,1,0.00033211557622052476
80CAE0140,2,1,1,0.00033211557622052476
80CAE0930,2,1,1,0.00033211557622052476
80754A2E0,2,1,1,0.00033211557622052476
80AEB4670,1,0,1,0.00016605778811026238
80CADCD00,1,1,0,0.00016605778811026238
807545030,2,1,1,0.00033211557622052476
807522F80,2,1,1,0.00033211557622052476
805611F00,1,0,1,0.00016605778811026238
80CAAB1D0,1,1,0,0.00016605778811026238
800F64670,1,0,1,0.00016605778811026238
8075380F0,1,1,0,0.00016605778811026238
80CD264A0,2,1,1,0.00033211557622052476
80CD10940,2,1,1,0.00033211557622052476
802C9D7C0,2,1,1,0.00033211557622052476
802E07010,2,1,1,0.00033211557622052476
806DD2EA0,1,0,1,0.00016605778811026238
807231170,1,1,0,0.00016605778811026238
807221ED0,2,1,1,0.00033211557622052476
8072294A0,2,1,1,0.00033211557622052476
80CE5A790,2,1,1,0.00033211557622052476
